Yr,Domestic_helpers,Population,Sex_ratio,Percentage_of_population_aged_0 _14,Percentage_of_population_aged_15 _64,Percentage_of_population_aged_65over,Child_dependency_ratio,Elderly_dependency_ratio,Overall_dependency_ratio,Median_age,Live_births,Crude_birth_rate,TFR,No_of_death,Crude_death_rate,Infant_mort_rate,Exp_life_M,Exp_life_F,No_of_marri,Crude_marri_rate,Crude_marri_rate_M,Crude_marri_rate_F,Med_age_BG,Med_age_B,No_of_divorce,Crude_divorce_rate
1991,Including foreign domestic helpers,5752000,1044,20.8,70.4,8.7,295,125,420,31.6,68281,12,1281,28429,5,6.4,75.2,80.7,42568,6.9,13.6,14.1,29.1,26.2,6295,1.11
1996,Including foreign domestic helpers,6435500,1001,18.7,71.1,10.2,263,143,406,34.2,63291,9.9,1191,32176,5,4.1,76.7,82.7,37045,5.5,11,11,30,26.9,9473,1.48
2001,Including foreign domestic helpers,6714300,956,16.4,72.4,11.2,226,155,381,36.8,48219,7.2,931,33378,5,2.6,78.4,84.6,32825,4.8,9.9,9.5,30.2,27.5,13425,2
2006,Including foreign domestic helpers,6857100,912,13.7,73.9,12.4,185,168,354,39.6,65626,9.6,984,37457,5.5,1.8,79.4,85.5,50328,7.3,15.4,14,31.2,28.2,17424,2.54
2011,Including foreign domestic helpers,7071600,876,11.6,75,13.3,155,177,333,41.7,95451,13.5,1204,42346,6,1.3,80.3,86.7,58369,8.2,17.6,15.5,31.2,28.9,19597,2.77
2016,Including foreign domestic helpers,7336600,852,11.3,72.8,15.9,155,218,373,43.4,60856,8.3,1205,46905,6.4,1.8,81.3,87.3,50008,6.8,14.8,12.6,31.4,29.4,17196,2.34
2021,Including foreign domestic helpers,7413100,839,10.9,69.5,19.6,157,282,438,46.3,36953,5,772,51354,6.9,1.4,83.2,87.9,26899,3.6,8,6.7,32.2,30.6,16692,2.25
1991,Excluding foreign domestic helpers,,1074,21.1,70,8.9,302,126,428,31.6,,,,,,,,,,,,,,,,
1996,Excluding foreign domestic helpers,,1048,19.2,70.4,10.4,272,148,420,34.4,,,,,,,,,,,,,,,,
2001,Excluding foreign domestic helpers,,1021,16.9,71.5,11.6,237,163,399,37.2,,,,,,,,,,,,,,,,
2006,Excluding foreign domestic helpers,,971,14.2,73,12.9,194,176,370,40.1,,,,,,,,,,,,,,,,
2011,Excluding foreign domestic helpers,,948,12.1,74,13.9,164,188,352,42.4,,,,,,,,,,,,,,,,
2016,Excluding foreign domestic helpers,,925,11.8,71.6,16.6,165,231,397,44.3,,,,,,,,,,,,,,,,
2021,Excluding foreign domestic helpers,,910,11.4,68.2,20.5,167,300,467,47.3,,,,,,,,,,,,,,,,
